reference_pitch_m,boundary_rule,interpolator,layout_source,additional_stations_b,pile,stages,median_paired_delta,median_candidate_nrmse,median_uniform_nrmse,median_distance_weighted_delta,median_outside_sse_fraction,median_delta_squared_error_inside,median_delta_squared_error_outside
0.4,boundary_constrained,linear,SKS03,3,F1,12,-9.155087160010733e-05,0.04422407781322503,0.04608902502387367,-0.0009915441980239727,0.0,-9.31578639552087e-06,0.0
0.4,boundary_constrained,linear,SKS03,3,F2,12,-0.0030955995618191547,0.043176266653499745,0.04931471647541764,-0.004496076662251394,0.0,-0.0002883793521158943,0.0
0.4,boundary_constrained,linear,SKS03,3,T1,15,0.051230583792138976,0.11602303333138632,0.06796756291020223,0.04720137554279183,0.0,0.009302057531651317,0.0
0.4,boundary_constrained,linear,SKS03,3,T2,8,0.023993853329056587,0.055270387895374376,0.034463410553441126,0.02211843366671723,0.0,0.0021221968462358286,0.0
0.4,boundary_constrained,linear,SKS03,3,T3,6,0.007543216914388442,0.04481823795046448,0.03561945129993746,0.007596142336646728,0.0,0.0006639525531958521,0.0
0.4,boundary_constrained,linear,SKS03,4,F1,12,-0.012787193312970678,0.03191840191192653,0.044319902763704566,-0.013163049147143578,0.0,-0.0009574853965048946,0.0
0.4,boundary_constrained,linear,SKS03,4,F2,12,-0.014778553500272618,0.04242981205715915,0.05444779227792792,-0.01666874565522174,0.0,-0.0014147827516886834,0.0
0.4,boundary_constrained,linear,SKS03,4,T1,15,-0.02495048461302363,0.02568694115893174,0.051248104983403764,-0.02384007688123167,0.0,-0.0018034266299767157,0.0
0.4,boundary_constrained,linear,SKS03,4,T2,8,0.006994323355628723,0.027473386188927657,0.024311242879697034,0.004856192774489128,0.0,0.0003605665839776453,0.0
0.4,boundary_constrained,linear,SKS03,4,T3,6,0.006816813300389565,0.0387696373909535,0.033736683106465604,0.006866740575558063,0.0,0.0005223974523373803,0.0
0.4,boundary_constrained,pchip,SKS02,2,F1,12,0.02121600761957641,0.06029830153810589,0.040348623437888496,0.020527852904937225,0.0,0.00207536663580066,0.0
0.4,boundary_constrained,pchip,SKS02,2,F2,12,0.03051730797734541,0.07790039850749289,0.049197482768005785,0.0275898722106786,0.0,0.003834678606267484,0.0
0.4,boundary_constrained,pchip,SKS02,2,T1,15,0.05618329067863887,0.1190590227771583,0.06656064406819917,0.05139408778270271,0.0,0.010086581431566577,0.0
0.4,boundary_constrained,pchip,SKS02,2,T2,8,0.05818954810598108,0.09207470223654712,0.02888004340433093,0.05255545390213823,0.0,0.007228847472740918,0.0
0.4,boundary_constrained,pchip,SKS02,2,T3,6,-0.0010423856916805044,0.04725907680284342,0.0421008404340055,-0.0010540762330521064,0.0,-9.956484617563254e-05,0.0
0.4,boundary_constrained,pchip,SKS02,3,F1,12,-0.0009752305858981535,0.04144972472947918,0.04298003736711598,-0.001386450356940721,0.0,-8.463043382108123e-05,0.0
0.4,boundary_constrained,pchip,SKS02,3,F2,12,-0.001404109432160995,0.047034196994586955,0.04830425268588025,-0.001990643778209518,0.0,-0.00013416294131643185,0.0
0.4,boundary_constrained,pchip,SKS02,3,T1,15,0.01931541387688311,0.06356688161427843,0.04303679634892446,0.01715703606713327,0.0,0.0018554326345800167,0.0
0.4,boundary_constrained,pchip,SKS02,3,T2,8,0.0037611939789736013,0.026822960694796324,0.023828658782432104,0.002587548494685135,0.0,0.00015555147640705034,0.0
0.4,boundary_constrained,pchip,SKS02,3,T3,6,0.007493874118381063,0.04339119156321311,0.03622963338918088,0.007553912497561637,0.0,0.0005915780726975003,0.0
0.4,boundary_constrained,pchip,SKS02,4,F1,12,0.02156776414832168,0.06774487680793989,0.0462192616374404,0.01953493641809333,0.0,0.0024215060059708257,0.0
