test,event,pile,layout,additional_stations_b,snapshots,cluster_median_nrmse,cluster_p90_nrmse,cluster_median_mae_mn,cluster_p90_peak_load_relative_error,cluster_p90_peak_depth_error_z_over_l
SKS02,EQM_5,1,trained_SKS03_applied_all_4,4,120,0.16895806598562166,0.1809017307276514,0.08726595334850454,0.0,0.0
SKS02,EQM_5,1,trained_SKS03_applied_all_5,5,120,0.16715087814027996,0.17886580322228401,0.07963323837776333,0.0,0.0
SKS02,EQM_5,1,uniform_2,2,120,0.2785393065874028,0.29825810168046546,0.2329026911302557,0.41151001785222946,0.2857142857142857
SKS02,EQM_5,1,uniform_3,3,120,0.22451268356513066,0.23689674531504362,0.1485329662440399,0.25294520572549295,0.5714285714285714
SKS02,EQM_5,1,uniform_4,4,120,0.22378581507551454,0.23581486643006613,0.1404145997236671,0.25294520572549295,0.5714285714285714
SKS02,EQM_5,1,uniform_5,5,120,0.16715087814027996,0.17886580322228401,0.07963323837776333,0.0,0.0
SKS02,EQM_5,2,pooled_robust_2,2,120,0.18509666279078332,0.18667364549003343,0.12240732792207794,0.4988727939028945,0.7142857142857142
SKS02,EQM_5,2,pooled_robust_3,3,120,0.13678071030445876,0.17878771041408625,0.08181095698051949,0.0,0.0
SKS02,EQM_5,2,pooled_robust_4,4,120,0.03320225270434356,0.03398739769631142,0.02420998863636363,0.0,0.0
SKS02,EQM_5,2,pooled_robust_5,5,120,0.019730684228161956,0.021027411740992766,0.009223616883116882,0.0,0.0
SKS02,EQM_5,2,static_transfer_2,2,120,0.16804076572779028,0.17343295265819758,0.14704108279220782,0.0,0.0
SKS02,EQM_5,2,static_transfer_3,3,120,0.09800793032468028,0.10800760366105133,0.0685586293290043,0.0,0.0
SKS02,EQM_5,2,static_transfer_4,4,120,0.05829219926389129,0.0814280963748828,0.03516602732683981,0.0,0.0
SKS02,EQM_5,2,static_transfer_5,5,120,0.05842137014462875,0.07900198752603083,0.03194139772727272,0.0,0.0
SKS02,EQM_5,2,trained_SKS02_applied_all_2,2,120,0.18509666279078332,0.18667364549003343,0.12240732792207794,0.4988727939028945,0.7142857142857142
SKS02,EQM_5,2,trained_SKS02_applied_all_3,3,120,0.13678071030445876,0.17878771041408625,0.08181095698051949,0.0,0.0
SKS02,EQM_5,2,trained_SKS02_applied_all_4,4,120,0.03320225270434356,0.03398739769631142,0.02420998863636363,0.0,0.0
SKS02,EQM_5,2,trained_SKS02_applied_all_5,5,120,0.019730684228161956,0.021027411740992766,0.009223616883116882,0.0,0.0
SKS02,EQM_5,2,trained_SKS03_applied_all_2,2,120,0.14419095144708724,0.14791864839643065,0.08737152353896104,0.4049042989260117,0.7142857142857142
SKS02,EQM_5,2,trained_SKS03_applied_all_3,3,120,0.14567012747933164,0.1687757212674581,0.07802075730519481,0.4036382764292414,0.7142857142857142
SKS02,EQM_5,2,trained_SKS03_applied_all_4,4,120,0.058733485254834614,0.08079107497045726,0.03324098701298699,0.0,0.0
SKS02,EQM_5,2,trained_SKS03_applied_all_5,5,120,0.05842137014462875,0.07900198752603083,0.03194139772727272,0.0,0.0
SKS02,EQM_5,2,uniform_2,2,120,0.14650327767259447,0.16013591634918797,0.08172909253246752,0.40808120159441774,0.2857142857142857
SKS02,EQM_5,2,uniform_3,3,120,0.1379208684890491,0.1601343158025694,0.07290552110389609,0.4098040944360051,0.5714285714285714
SKS02,EQM_5,2,uniform_4,4,120,0.137588725379701,0.15838942353295735,0.07081522402597401,0.40325903394404816,0.2857142857142857
SKS02,EQM_5,2,uniform_5,5,120,0.05842137014462875,0.07900198752603083,0.03194139772727272,0.0,0.0
SKS02,EQM_6,1,pooled_robust_2,2,120,0.18738372074962362,0.19544441045007296,0.14546262638166452,0.32621540270107063,0.7142857142857142
SKS02,EQM_6,1,pooled_robust_3,3,120,0.1573785819083632,0.1742083662689105,0.11629061524707415,0.0,0.0
SKS02,EQM_6,1,pooled_robust_4,4,120,0.07589594006040329,0.09206393009676012,0.04996153649219765,0.0,0.0
SKS02,EQM_6,1,pooled_robust_5,5,120,0.04174782422464156,0.050122906832349254,0.025202857336367568,0.0,0.0
